timestamp,packet_size,src_mac,dst_mac,ethertype
1112701135.784234,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.784414,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.786237,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.786469,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.788214,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.788413,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.790246,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.790420,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.792209,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.792419,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.794223,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.794422,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.796223,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.796421,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.798252,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.798424,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.800260,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.800424,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.802237,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.802420,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.804221,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.804433,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.806219,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.806430,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.808223,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.808428,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.810254,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.810430,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.812225,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.812432,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.814238,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.814434,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.816219,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
